['CONST', 'const', '-1']
['IDENTIFIER', 'id', 'a']
['EQUAL', '=', '-1']
['NUMBER', 'num', '10']
['SEMICOLON', ';', '-1']
['VAR', 'var', '-1']
['IDENTIFIER', 'id', 'b']
['COMMA', ',', '-1']
['IDENTIFIER', 'id', 'c']
['SEMICOLON', ';', '-1']
['PROCEDURE', 'procedure', '-1']
['IDENTIFIER', 'id', 'p']
['SEMICOLON', ';', '-1']
['BEGIN', 'begin', '-1']
['IDENTIFIER', 'id', 'c']
['ASSIGN', ':=', '-1']
['IDENTIFIER', 'id', 'b']
['PLUS', '+', '-1']
['IDENTIFIER', 'id', 'a']
['END', 'end', '-1']
['SEMICOLON', ';', '-1']
['BEGIN', 'begin', '-1']
['READ', 'read', '-1']
['LEFT_PARENTHESES', '(', '-1']
['IDENTIFIER', 'id', 'b']
['RIGHT_PARENTHESES', ')', '-1']
['SEMICOLON', ';', '-1']
['WHILE', 'while', '-1']
['IDENTIFIER', 'id', 'b']
['NEQUAL', '#', '-1']
['NUMBER', 'num', '0']
['DO', 'do', '-1']
['BEGIN', 'begin', '-1']
['CALL', 'call', '-1']
['IDENTIFIER', 'id', 'p']
['SEMICOLON', ';', '-1']
['WRITE', 'write', '-1']
['LEFT_PARENTHESES', '(', '-1']
['IDENTIFIER', 'id', 'c']
['RIGHT_PARENTHESES', ')', '-1']
['SEMICOLON', ';', '-1']
['READ', 'read', '-1']
['LEFT_PARENTHESES', '(', '-1']
['IDENTIFIER', 'id', 'b']
['RIGHT_PARENTHESES', ')', '-1']
['SEMICOLON', ';', '-1']
['END', 'end', '-1']
['END', 'end', '-1']
['DOT', '.', '-1']
