['VAR', 'var', '-1']
['IDENTIFIER', 'id', 'x']
['COMMA', ',', '-1']
['IDENTIFIER', 'id', 'squ']
['SEMICOLON', ';', '-1']
['PROCEDURE', 'procedure', '-1']
['IDENTIFIER', 'id', 'minus']
['SEMICOLON', ';', '-1']
['BEGIN', 'begin', '-1']
['IDENTIFIER', 'id', 'x']
['ASSIGN', ':=', '-1']
['IDENTIFIER', 'id', 'x']
['PLUS', '+', '-1']
['NUMBER', 'num', '1']
['SEMICOLON', ';', '-1']
['END', 'end', '-1']
['SEMICOLON', ';', '-1']
['PROCEDURE', 'procedure', '-1']
['IDENTIFIER', 'id', 'square']
['SEMICOLON', ';', '-1']
['BEGIN', 'begin', '-1']
['CALL', 'call', '-1']
['IDENTIFIER', 'id', 'minus']
['SEMICOLON', ';', '-1']
['IDENTIFIER', 'id', 'squ']
['ASSIGN', ':=', '-1']
['IDENTIFIER', 'id', 'x']
['TIMES', '*', '-1']
['IDENTIFIER', 'id', 'x']
['END', 'end', '-1']
['SEMICOLON', ';', '-1']
['BEGIN', 'begin', '-1']
['IDENTIFIER', 'id', 'x']
['ASSIGN', ':=', '-1']
['NUMBER', 'num', '1']
['SEMICOLON', ';', '-1']
['WHILE', 'while', '-1']
['IDENTIFIER', 'id', 'x']
['LESS_OR_EQUAL', '<=', '-1']
['NUMBER', 'num', '100']
['DO', 'do', '-1']
['BEGIN', 'begin', '-1']
['CALL', 'call', '-1']
['IDENTIFIER', 'id', 'square']
['SEMICOLON', ';', '-1']
['WRITE', 'write', '-1']
['LEFT_PARENTHESES', '(', '-1']
['IDENTIFIER', 'id', 'squ']
['RIGHT_PARENTHESES', ')', '-1']
['SEMICOLON', ';', '-1']
['IDENTIFIER', 'id', 'x']
['ASSIGN', ':=', '-1']
['NUMBER', 'num', '2']
['TIMES', '*', '-1']
['IDENTIFIER', 'id', 'x']
['PLUS', '+', '-1']
['NUMBER', 'num', '1']
['END', 'end', '-1']
['END', 'end', '-1']
['DOT', '.', '-1']
